	SScmap	SSfisher	SSlincs	SSlincs_Norm	SSpearson_corr	SSspearman_corr	SSzhang	SSzhang_Norm	Rank	Rank	Rank	Rank	Rank	Rank	Rank	Rank	sumrank								
S12S17	-0.311455284	2.002082969	0.379949839	1.019707212	0.25027678	0.263820471	-45.83990148	0.675092618	291	82	32	33	22	35	102	65	0.000453798								
S6S15	-1.516639803	-0.611102974	-0.082953208	-0.280544725	-0.058646449	0.016420361	-46.37438424	-0.018353872	453	244	336	324	279	221	103	154	0.579824892								
S15S3	0.057788162	2.912639439	0.339486527	0.930929713	0.141338959	0.005116796	-46.63225806	0.910888984	166	2	46	44	67	234	104	52	0.012040825								
S14S2	-0.204089032	-1.79359801	0.358003426	0.930384754	0.139530191	0.03546798	-47.20229885	-0.280915481	264	363	39	45	69	201.5	105	195	0.026971897								
S6S25	0.109411131	2.538411763	0.04185969	0.306709983	0.118589584	0.12026862	-48.77777778	-0.291429961	148	20	152	97	84	110	106	197	0.023553668								
S14S12	-0.422799083	-1.228373983	-0.053136416	-0.049467257	-0.09855068	-0.174876847	-48.85287356	-0.931823767	311	303	303	234	322	399	107	299	1								
S5S21	0.146613318	1.868232762	0.030344762	0.151070812	2.51E-05	0.108058608	-49.28835979	-0.216076593	141	91	172	138	200	118	108	185	0.025789396								
S14S23	0.185548533	-4.605170186	-0.267737532	-0.770693974	-0.087758013	-0.235960591	-50.06896552	-0.169015658	131	466	401	404	311	444	109	177	1								
S8S26	1.327782975	0.611759644	0.061002133	0.016836579	0.107089374	0.067155067	-51.85978836	0.522139554	44	181	131	197	96	155	110	83	0.023553668								
S10S20	-0.238406933	-0.715287141	-0.071313518	-0.131534963	-0.106490606	-0.041156841	-52.15268817	0.757903934	270	255	324	274	335	272	111	58	0.56954761								
S6S12	0.34482432	-4.605170186	-0.046482641	0.058290009	0.00670052	0.122710623	-52.34126984	0.351786369	94	466	290	170	193	107	112	104	0.217000037								
S16S6	0.065343644	0.975975054	0.08097114	0.352340396	0.130741423	0.204926108	-52.51034483	-1.004883612	159	144	107	87	76	59	113	312	0.017899901								
S12S20	-0.394596904	-2.0057763	0.096458713	0.110033946	0.122864537	0.143951834	-53.57635468	-0.037277916	304	383	93	151	80	97	114	156	0.005807762								
S15S20	0.044114432	-1.385182816	-0.014462728	-0.295985133	0.005972769	0.03403782	-57.2344086	0.187622024	170	326	241	329	195	204	115	128	0.511018449								
S2S7	0.169010097	2.639269239	-0.048249598	-0.033255498	0.015186611	0.231145717	-57.31612903	-0.004241353	136	11	293	223	185	45	116	152	0.254956984								
S6S10	-0.07460879	0.919222436	0.529652278	1.362711461	0.11728852	0.029009305	-57.86945813	-0.248201764	227	150	3	8	86	210	117	189	0.022424212								
S5S9	-0.147583182	1.8605083	0.370136708	1.038213471	0.174120483	0.230979748	-59.12807882	0.118681552	252	92	35	32	46	46	118	139	0.002906364								
S16S12	0.036020903	-0.921455211	0.325201023	0.905221399	-0.019396657	-0.120415982	-59.13300493	-0.332361628	172	271	50	50	229	355	119	204	0.464651076								
S12S16	1.310176922	-2.494064874	0.038453748	0.031486515	0.182333003	0.323248053	-59.57419355	-0.190414944	46	412	157	188	44	17	120	183	0.017791325								
