Gene_Symbol	logFC	pv
KCNN4	4.218281806	0.0005
HIF1A	-1.29677172	0.0005
RAC2	-0.483049698	0.0005
CD68	0.649509413	0.0005
EMB	-1.375864347	0.0005
RBM3	-0.440514024	0.0005
TGFB1	-0.898264854	0.0005
TGM2	-0.850968305	0.0005
NDUFA12	0.984345497	0.0005
HDAC9	2.484619451	0.0005
TREM2	2.338322576	0.0005
PHB2	0.853534852	0.0005
TRAPPC2L	1.092332994	0.0005
MS4A7	4.252352176	0.0005
LGMN	1.038158495	0.0005
APOC2	0.4995521	0.0005
GRN	1.208673908	0.0005
CTSA	0.634736659	0.0005
NCF4	-0.786515815	0.0005
NDUFB9	0.53198249	0.0005
SLC7A5	-1.771802335	0.0005
CD84	1.292519526	0.0005
CMIP	-0.808939732	0.0005
REX1BD	1.027950912	0.0005
DHRS3	1.812879263	0.0005
SPTSSA	0.853073142	0.0005
CD300LG	-2.875988891	0.0005
KYNU	-4.055529554	0.0005
FKBP5	-1.55186155	0.0005
TENT5A	-1.384689397	0.0005
KDM7A	-1.088953947	0.0005
PROS1	-1.905378723	0.0005
SLC37A2	3.196029904	0.0005
DCTPP1	1.997500389	0.0005
CXCR2	-5.24663074	0.0005
FOLR2	3.277761459	0.0005
KLHL2	-1.297208634	0.0005
SUMO3	1.032950007	0.0005
NOD2	-3.539925537	0.0005
PSD3	3.597990476	0.0005
TRPS1	-1.00647463	0.0005
PRDX1	0.595444868	0.0005
NDUFB8	0.500330383	0.0005
NDUFB7	0.476108137	0.0005
CTSB	0.77615927	0.0005
SELENOP	1.065993814	0.0005
CREG1	0.727737287	0.0005
PRKCD	-0.778269622	0.0005
CLTA	0.484829635	0.0005
CLEC6A	-0.508528266	0.0005
JPT1	0.475952365	0.0005
DUSP2	-1.658668582	0.0005
NFKB1	-0.886534989	0.0005
JUNB	-0.611340048	0.0005
ACTR3	-0.352511653	0.0005
ACIN1	-0.924499438	0.0005
SBF2	2.607838454	0.0005
GPR35	-1.424132598	0.0005
TBCA	0.866839202	0.0005
KCTD12	-0.816961885	0.0005
ELL2	-0.801378188	0.0005
NDUFC1	0.6719705	0.0005
PIM1	-0.646031725	0.0005
MCL1	-0.804548998	0.0005
TLR2	-1.550079115	0.0005
PTPN1	-1.008129017	0.0005
DTNBP1	0.888992222	0.0005
BAZ1A	-0.914135431	0.0005
PDE4D	1.844448888	0.0005
NAA20	0.991916164	0.0005
ENTPD1	-1.102429246	0.0005
UAP1L1	2.218668095	0.0005
SDCBP	0.421466927	0.0005
RASGEF1B	2.214159177	0.0005
RBM39	-0.368575421	0.0005
MITF	0.895488603	0.0005
ICAM1	-1.117039067	0.0005
NUPR1	-0.800802466	0.0005
CLEC4E	-1.68931808	0.0005
CD63	2.485928908	0.0005
PKIB	1.699996505	0.0005
FDX2	2.072709138	0.0005
KDM6B	-1.432679383	0.0005
LSMEM1	-1.44913592	0.0005
ADGRE1	0.877952704	0.0005
SASH1	1.863426112	0.0005
CSTB	0.685278582	0.0005
CAPG	0.541519998	0.0005
EFHD2	0.459470008	0.0005
NDUFS5	0.74693034	0.0005
IL37	2.865999967	0.0005
PSAP	0.106761558	0.0005
CD72	4.288363279	0.0005
NRP2	3.235415283	0.0005
CCL4	1.029995703	0.0005
SPI1	-0.360414138	0.0005
ATP5ME	0.955344198	0.0005
PEBP1	0.667550368	0.0005
CYBB	-1.261853707	0.0005
GCNT2	-1.273654414	0.0005
IRF8	1.048025769	0.0005
DCLRE1C	1.313167889	0.0005
NFKBID	-1.257171171	0.0005
SNX29	2.809559958	0.0005
